experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
138,11.0,47.83,98.57,63.05,49.2647705078125,1
197,7.0,70.0,100.0,79.0,43.84996032714844,1
0,1.0,11.11,0.0,7.78,50.27640914916992,0
12,1.0,11.11,8.57,10.35,49.248634338378906,1
0,10.0,43.48,0.0,30.43,58.89906311035156,0
70,9.0,56.25,50.0,54.38,47.21343231201172,1
0,5.0,38.46,0.0,26.92,71.28791809082031,0
0,2.0,11.11,0.0,7.78,52.57575607299805,0
251,6.0,27.27,100.0,49.09,44.8046989440918,1
72,4.0,28.57,51.43,35.43,47.463035583496094,1
0,1.0,20.0,0.0,14.0,26.12097930908203,0
0,2.0,10.0,0.0,7.0,51.4669075012207,0
24,2.0,12.5,17.14,13.89,39.657657623291016,1
396,5.0,38.46,100.0,56.92,52.0478744506836,1
0,2.0,10.0,0.0,7.0,51.4669075012207,0
108,11.0,28.95,77.14,43.41,40.34574890136719,1
83,9.0,50.0,59.29,52.79,46.09029769897461,1
245,10.0,45.45,100.0,61.82,54.07373428344727,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
0,9.0,40.91,0.0,28.64,43.395606994628906,0
24,8.0,61.54,17.14,48.22,36.00724029541016,1
48,7.0,30.43,34.29,31.59,37.77492904663086,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
0,5.0,41.67,0.0,29.17,43.60877990722656,0
0,9.0,39.13,0.0,27.39,61.7741813659668,0
18,6.0,23.08,12.86,20.01,54.14874649047852,1
60,7.0,17.95,42.86,25.42,49.024295806884766,1
149,13.0,33.33,100.0,53.33,39.34391784667969,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
166,3.0,42.86,100.0,60.0,41.62906265258789,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
170,10.0,55.56,100.0,68.89,52.94206237792969,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
0,5.0,21.74,0.0,15.22,48.504512786865234,0
0,1.0,12.5,0.0,8.75,51.01959609985352,0
192,12.0,75.0,100.0,82.5,47.83545684814453,1
0,2.0,20.0,0.0,14.0,46.29946517944336,0
0,2.0,7.69,0.0,5.38,58.77143859863281,0
114,4.0,17.39,81.43,36.6,67.05879211425781,1
90,7.0,50.0,64.29,54.29,32.31297302246094,1
186,12.0,30.77,100.0,51.54,55.574737548828125,1
4,3.0,42.86,2.86,30.86,31.35429573059082,1
96,14.0,35.9,68.57,45.7,41.28313064575195,1
86,5.0,21.74,61.43,33.65,61.00921630859375,1
30,2.0,25.0,21.43,23.93,35.72981262207031,1
215,5.0,38.46,100.0,56.92,38.03501129150391,1
0,2.0,11.11,0.0,7.78,52.57575607299805,0
0,3.0,21.43,0.0,15.0,38.54662704467773,0
90,4.0,28.57,64.29,39.29,14.535117149353027,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
90,7.0,53.85,64.29,56.98,62.214351654052734,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
